A:(1, 2), B:(1, 1), C:(1, 0), Agent:(0, 1)
A:(1, 2), B:(0, 1), C:(1, 0), Agent:(1, 1)
A:(1, 1), B:(0, 1), C:(1, 0), Agent:(1, 2)
A:(1, 1), B:(0, 1), C:(1, 0), Agent:(2, 2)
A:(1, 1), B:(0, 1), C:(1, 0), Agent:(2, 1)
A:(1, 1), B:(0, 1), C:(1, 0), Agent:(2, 0)
A:(1, 1), B:(0, 1), C:(2, 0), Agent:(1, 0)
A:(1, 0), B:(0, 1), C:(2, 0), Agent:(1, 1)
A:(1, 0), B:(1, 1), C:(2, 0), Agent:(0, 1)
A:(1, 0), B:(1, 1), C:(2, 0), Agent:(0, 0)
A:(0, 0), B:(1, 1), C:(2, 0), Agent:(1, 0)
A:(0, 0), B:(1, 0), C:(2, 0), Agent:(1, 1)
A:(0, 0), B:(1, 0), C:(2, 0), Agent:(2, 1)
A:(0, 0), B:(1, 0), C:(2, 0), Agent:(3, 1)
A:(0, 0), B:(1, 0), C:(2, 0), Agent:(3, 0)
